"id","parent_id","name","pinyin","pinyin_prefix","level"
"141024000000","141000000000","洪洞县","hong tong xian","H","3"
"141025000000","141000000000","古县","gu xian","G","3"
"141026000000","141000000000","安泽县","an ze xian","A","3"
"141027000000","141000000000","浮山县","fu shan xian","F","3"
"141028000000","141000000000","吉县","ji xian","J","3"
"141029000000","141000000000","乡宁县","xiang ning xian","X","3"
"141030000000","141000000000","大宁县","da ning xian","D","3"
"141031000000","141000000000","隰县","xi xian","X","3"
"141032000000","141000000000","永和县","yong he xian","Y","3"
"141033000000","141000000000","蒲县","pu xian","P","3"
"141034000000","141000000000","汾西县","fen xi xian","F","3"
"141081000000","141000000000","侯马市","hou ma shi","H","3"
"141082000000","141000000000","霍州市","huo zhou shi","H","3"
"141100000000","140000000000","吕梁市","lyu liang shi","L","2"
"141102000000","141100000000","离石区","li shi qu","L","3"
"141121000000","141100000000","文水县","wen shui xian","W","3"
"141122000000","141100000000","交城县","jiao cheng xian","J","3"
"141123000000","141100000000","兴县","xing xian","X","3"
"141124000000","141100000000","临县","lin xian","L","3"
"141125000000","141100000000","柳林县","liu lin xian","L","3"
"141126000000","141100000000","石楼县","shi lou xian","S","3"
"141127000000","141100000000","岚县","lan xian","L","3"
"141128000000","141100000000","方山县","fang shan xian","F","3"
"141129000000","141100000000","中阳县","zhong yang xian","Z","3"
"141130000000","141100000000","交口县","jiao kou xian","J","3"
"141181000000","141100000000","孝义市","xiao yi shi","X","3"
"141182000000","141100000000","汾阳市","fen yang shi","F","3"
"150000000000","0","内蒙古自治区","nei meng gu zi zhi qu","N","1"
"150100000000","150000000000","呼和浩特市","hu he hao te shi","H","2"
"150102000000","150100000000","新城区","xin cheng qu","X","3"
"150103000000","150100000000","回民区","hui min qu","H","3"
"150104000000","150100000000","玉泉区","yu quan qu","Y","3"
"150105000000","150100000000","赛罕区","sai han qu","S","3"
"150121000000","150100000000","土默特左旗","tu mo te zuo qi","T","3"
"150122000000","150100000000","托克托县","tuo ke tuo xian","T","3"
"150123000000","150100000000","和林格尔县","he lin ge er xian","H","3"
"150124000000","150100000000","清水河县","qing shui he xian","Q","3"
"150125000000","150100000000","武川县","wu chuan xian","W","3"
"150172000000","150100000000","呼和浩特经济技术开发区","hu he hao te jing ji ji shu kai fa qu","H","3"
"150200000000","150000000000","包头市","bao tou shi","B","2"
"150202000000","150200000000","东河区","dong he qu","D","3"
"150203000000","150200000000","昆都仑区","kun du lun qu","K","3"
"150204000000","150200000000","青山区","qing shan qu","Q","3"
"150205000000","150200000000","石拐区","shi guai qu","S","3"
"150206000000","150200000000","白云鄂博矿区","bai yun e bo kuang qu","B","3"
"150207000000","150200000000","九原区","jiu yuan qu","J","3"
"150221000000","150200000000","土默特右旗","tu mo te you qi","T","3"
"150222000000","150200000000","固阳县","gu yang xian","G","3"
"150223000000","150200000000","达尔罕茂明安联合旗","da er han mao ming an lian he qi","D","3"
"150271000000","150200000000","包头稀土高新技术产业开发区","bao tou xi tu gao xin ji shu chan ye kai fa qu","B","3"
"150300000000","150000000000","乌海市","wu hai shi","W","2"
"150302000000","150300000000","海勃湾区","hai bo wan qu","H","3"
"150303000000","150300000000","海南区","hai nan qu","H","3"
"150304000000","150300000000","乌达区","wu da qu","W","3"
"150400000000","150000000000","赤峰市","chi feng shi","C","2"
"150402000000","150400000000","红山区","hong shan qu","H","3"
"150403000000","150400000000","元宝山区","yuan bao shan qu","Y","3"
"150404000000","150400000000","松山区","song shan qu","S","3"
"150421000000","150400000000","阿鲁科尔沁旗","a lu ke er qin qi","A","3"
"150422000000","150400000000","巴林左旗","ba lin zuo qi","B","3"
"150423000000","150400000000","巴林右旗","ba lin you qi","B","3"
"150424000000","150400000000","林西县","lin xi xian","L","3"
"150425000000","150400000000","克什克腾旗","ke shi ke teng qi","K","3"
"150426000000","150400000000","翁牛特旗","weng niu te qi","W","3"
"150428000000","150400000000","喀喇沁旗","ka la qin qi","K","3"
"150429000000","150400000000","宁城县","ning cheng xian","N","3"
"150430000000","150400000000","敖汉旗","ao han qi","A","3"
"150500000000","150000000000","通辽市","tong liao shi","T","2"
"150502000000","150500000000","科尔沁区","ke er qin qu","K","3"
"150521000000","150500000000","科尔沁左翼中旗","ke er qin zuo yi zhong qi","K","3"
"150522000000","150500000000","科尔沁左翼后旗","ke er qin zuo yi hou qi","K","3"
"150523000000","150500000000","开鲁县","kai lu xian","K","3"
